App Employment ID,Position ID,Position Title,Position Direct Care,Is Primary,Start Date,End Date,Hours Per Week,Months Per Year,Net Yearly Income,Hourly Wage,Date Wage Increase,Verify Date,Last Update Date,Create Date,Verify Status Name,Is Verified,Infants  0-12 Months,Toddlers  13-36 Months,Preschoolers 37 Months-Pre-K,Elementary K-5th Grade,Middle 6th-8th Grade,Secondary (High School),Adults,Program Type Name,County
452,33,Early Childhood Teacher,TRUE,TRUE,1/1/1980,,20,12,0,0,,7/14/2009,2/11/2015,7/14/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
453,33,Early Childhood Teacher,TRUE,TRUE,6/1/1999,,40,12,0,0,,7/21/2009,2/11/2015,7/21/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
498,51,Center/Preschool Director,TRUE,TRUE,9/1/1993,,40,12,0,0,,5/6/2009,8/1/2011,8/1/2011,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Gallatin
512,41,Program Administrator,TRUE,TRUE,3/1/1997,,40,12,0,0,,5/12/2009,4/27/2010,4/27/2010,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
537,51,Center/Preschool Director,TRUE,TRUE,1/1/1975,,40,12,0,0,,7/28/2009,11/3/2013,8/1/2011,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
552,51,Center/Preschool Director,TRUE,TRUE,9/1/1982,,40,12,0,0,,5/14/2009,2/23/2015,5/14/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Silver Bow
552,51,Center/Preschool Director,TRUE,TRUE,9/1/1982,,40,12,0,0,,5/14/2009,2/23/2015,5/14/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Silver Bow
596,32,Registered Group Child Care Home,TRUE,TRUE,4/1/1996,,40,12,0,0,,3/16/2009,2/25/2011,2/25/2011,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Gallatin
597,51,Center/Preschool Director,TRUE,TRUE,12/1/2003,,50,12,0,0,,6/30/2018,6/30/2018,8/1/2011,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Ravalli
607,34,Early Childhood Assistant Teacher,TRUE,TRUE,1/1/1990,,40,12,0,0,,12/21/2009,12/21/2009,12/21/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Ravalli
607,34,Early Childhood Assistant Teacher,TRUE,TRUE,1/1/1990,,40,12,0,0,,12/21/2009,12/21/2009,12/21/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Ravalli
613,31,Registered Family Child Care Home,TRUE,TRUE,1/30/2001,,40,12,0,0,,10/8/2009,12/27/2012,10/19/2010,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
632,41,Program Administrator,TRUE,TRUE,9/7/1997,,60,12,0,0,,8/4/2010,8/4/2010,8/4/2010,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
664,33,Early Childhood Teacher,TRUE,TRUE,8/1/2000,,35,12,24115,13.25,8/30/2017,4/13/2018,4/13/2018,4/27/2009,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
664,33,Early Childhood Teacher,TRUE,TRUE,8/1/2000,,35,12,24115,13.25,8/30/2017,4/13/2018,4/13/2018,4/27/2009,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
669,33,Early Childhood Teacher,TRUE,TRUE,1/1/1975,,32,9,19506.24,15.63,9/1/2016,12/29/2009,4/27/2017,12/29/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Ravalli
669,33,Early Childhood Teacher,TRUE,TRUE,1/1/1975,,32,9,19506.24,15.63,9/1/2016,12/29/2009,4/27/2017,12/29/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Ravalli
670,41,Program Administrator,TRUE,TRUE,10/1/1991,,40,12,0,0,,12/29/2009,4/26/2018,12/29/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Ravalli
670,41,Program Administrator,TRUE,TRUE,10/1/1991,,40,12,0,0,,12/29/2009,4/26/2018,12/29/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Ravalli
798,33,Early Childhood Teacher,TRUE,FALSE,10/1/1995,,40,12,23920,11.5,,12/29/2009,3/30/2017,12/29/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Fergus
800,41,Program Administrator,TRUE,TRUE,6/1/1997,,40,12,0,0,,5/13/2009,6/15/2017,5/13/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
816,51,Center/Preschool Director,TRUE,TRUE,10/1/2003,,40,12,0,0,,8/11/2010,2/17/2015,8/11/2010,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
845,51,Center/Preschool Director,TRUE,TRUE,10/1/2000,,65,12,37180,11,,4/24/2018,4/24/2018,9/17/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Child Care Center,Silver Bow
845,51,Center/Preschool Director,TRUE,TRUE,10/1/2000,,65,12,37180,11,,4/24/2018,4/24/2018,9/17/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Child Care Center,Silver Bow
861,41,Program Administrator,TRUE,FALSE,8/18/2008,,40,12,0,0,,8/31/2009,8/31/2009,8/31/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
870,33,Early Childhood Teacher,TRUE,TRUE,5/1/2002,,40,12,0,0,,5/19/2009,2/6/2015,5/19/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
875,33,Early Childhood Teacher,TRUE,TRUE,8/18/2004,,40,12,27040,13,,6/18/2009,2/19/2015,6/18/2009,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Flathead
876,33,Early Childhood Teacher,TRUE,TRUE,6/1/1998,,15,12,9750,12.5,,1/7/2010,12/6/2017,1/7/2010,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Flathead
878,33,Early Childhood Teacher,TRUE,TRUE,6/16/2011,,40,12,28080,13.5,,8/24/2011,2/2/2017,8/24/2011,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Flathead
908,33,Early Childhood Teacher,TRUE,TRUE,9/25/2006,,40,12,0,0,,5/5/2009,2/10/2015,5/5/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Flathead
916,33,Early Childhood Teacher,TRUE,TRUE,8/1/1994,,40,12,0,0,,4/23/2009,4/28/2010,4/28/2010,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Gallatin
918,33,Early Childhood Teacher,TRUE,TRUE,1/1/1999,,40,12,0,0,,7/22/2009,7/22/2009,7/22/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
982,33,Early Childhood Teacher,TRUE,TRUE,9/1/1990,,40,12,27872,13.4,7/1/2016,12/9/2009,11/11/2016,11/4/2010,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
982,33,Early Childhood Teacher,TRUE,TRUE,9/1/1990,,40,12,27872,13.4,7/1/2016,12/9/2009,11/11/2016,11/4/2010,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
983,33,Early Childhood Teacher,TRUE,TRUE,1/1/1999,,20,12,0,0,,8/26/2009,9/13/2016,7/26/2010,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
983,33,Early Childhood Teacher,TRUE,TRUE,1/1/1999,,20,12,0,0,,8/26/2009,9/13/2016,7/26/2010,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
995,33,Early Childhood Teacher,TRUE,TRUE,9/1/2001,,40,12,0,0,,12/29/2009,2/11/2015,12/29/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Flathead
1019,33,Early Childhood Teacher,TRUE,FALSE,8/1/1989,,1,12,1053,20.25,10/1/2017,8/31/2009,6/26/2018,8/31/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
1033,33,Early Childhood Teacher,TRUE,FALSE,3/31/1999,,40,12,0,0,,9/3/2009,3/13/2018,9/9/2010,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
1072,41,Program Administrator,TRUE,TRUE,1/1/1992,,20,12,0,0,,2/22/2010,2/22/2010,2/22/2010,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
1086,51,Center/Preschool Director,TRUE,FALSE,7/1/1993,,20,12,0,0,,7/1/2009,4/24/2018,8/1/2011,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Lewis and Clark
1094,31,Registered Family Child Care Home,TRUE,TRUE,1/1/1993,,40,12,0,0,,11/9/2009,1/25/2011,1/25/2011,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Lewis and Clark
1186,33,Early Childhood Teacher,TRUE,TRUE,6/17/1997,,25,12,0,0,,4/9/2018,4/9/2018,2/23/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
1189,33,Early Childhood Teacher,TRUE,TRUE,6/1/1993,,40,12,29494.4,14.18,6/1/2017,8/14/2017,8/14/2017,7/14/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Child Care Center,Gallatin
1205,51,Center/Preschool Director,TRUE,TRUE,8/6/1984,,40,12,0,0,,5/18/2018,5/18/2018,8/1/2011,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
1212,41,Program Administrator,TRUE,TRUE,10/1/1986,,40,12,0,0,,4/16/2010,2/14/2017,5/12/2010,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
1238,33,Early Childhood Teacher,TRUE,TRUE,1/1/1982,,40,12,0,0,,2/8/2010,2/8/2010,2/8/2010,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
1248,41,Program Administrator,TRUE,TRUE,1/1/2000,,40,12,0,0,,10/7/2009,2/4/2015,10/7/2010,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Glacier
1253,34,Early Childhood Assistant Teacher,TRUE,TRUE,8/15/1995,,15,12,9165,11.75,,11/13/2009,9/7/2017,11/13/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Fergus
1254,33,Early Childhood Teacher,TRUE,FALSE,9/1/1995,,39,12,0,0,,10/27/2009,1/22/2018,10/27/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Fergus
1338,33,Early Childhood Teacher,TRUE,TRUE,11/1/1992,,40,12,0,0,,10/19/2009,10/19/2009,10/19/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
1338,33,Early Childhood Teacher,TRUE,TRUE,11/1/1992,,40,12,0,0,,10/19/2009,10/19/2009,10/19/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
1444,51,Center/Preschool Director,TRUE,FALSE,9/6/1997,,15,12,9750,12.5,9/1/2016,4/9/2018,4/9/2018,8/1/2011,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Flathead
1447,33,Early Childhood Teacher,TRUE,TRUE,5/1/1990,,40,12,16681.6,8.02,7/1/2008,10/21/2009,9/28/2010,9/28/2010,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
1451,34,Early Childhood Assistant Teacher,TRUE,TRUE,11/16/2006,,40,9,16489.2,10.57,3/13/2013,10/29/2009,1/6/2014,11/2/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
1523,51,Center/Preschool Director,TRUE,TRUE,6/1/1998,,39,12,40560,20,11/15/2016,3/19/2009,2/1/2018,1/13/2011,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Lake
1620,35,Pre-K through Grade 3 Teacher,TRUE,TRUE,1/1/1991,,40,12,0,0,,11/24/2009,1/4/2011,1/4/2011,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Lewis and Clark
1653,41,Program Administrator,TRUE,TRUE,4/1/2000,,40,12,0,0,,5/4/2009,12/20/2017,5/4/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
1711,33,Early Childhood Teacher,TRUE,TRUE,6/1/1999,,40,12,0,0,,7/14/2009,7/14/2009,7/14/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Gallatin
1768,41,Program Administrator,TRUE,TRUE,4/1/1999,,40,12,0,0,,5/4/2009,12/20/2017,5/4/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Child Care Center,Cascade
1775,33,Early Childhood Teacher,TRUE,TRUE,11/6/1995,,40,9,25864.8,16.58,3/1/2016,12/28/2012,3/21/2017,3/4/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
2136,51,Center/Preschool Director,TRUE,TRUE,5/1/1981,,50,12,0,0,,5/16/2018,5/16/2018,8/1/2011,Verified by Registry,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
2447,33,Early Childhood Teacher,TRUE,TRUE,4/28/2003,,40,12,25313.6,12.17,4/1/2014,6/29/2015,6/14/2018,2/23/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
2827,41,Program Administrator,TRUE,TRUE,11/1/2003,,40,12,0,0,,2/8/2010,2/8/2010,2/8/2010,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
2850,51,Center/Preschool Director,TRUE,TRUE,9/1/2004,,40,12,0,0,,6/14/2018,6/14/2018,8/1/2011,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
2872,33,Early Childhood Teacher,TRUE,FALSE,10/11/2001,,40,12,23920,11.5,,8/6/2014,8/14/2017,10/23/2010,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
2872,33,Early Childhood Teacher,TRUE,FALSE,10/11/2001,,40,12,23920,11.5,,8/6/2014,8/14/2017,10/23/2010,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
2917,33,Early Childhood Teacher,TRUE,TRUE,3/1/2007,,40,12,0,0,,6/25/2009,1/14/2015,2/23/2010,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
3502,33,Early Childhood Teacher,TRUE,TRUE,8/1/2005,,29,12,22363.64,14.83,1/1/2018,3/26/2009,6/15/2018,3/26/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Cascade
3593,51,Center/Preschool Director,TRUE,TRUE,6/23/2005,,40,12,33488,16.1,,6/28/2010,11/30/2017,6/28/2010,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
3633,33,Early Childhood Teacher,TRUE,TRUE,1/1/2006,,40,12,0,0,,11/24/2009,6/27/2017,11/24/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
3716,51,Center/Preschool Director,TRUE,TRUE,4/1/2004,,40,12,0,0,,5/20/2009,3/10/2015,5/27/2010,Verified by Registry,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
3751,33,Early Childhood Teacher,TRUE,TRUE,1/4/2003,,40,12,0,0,,6/12/2009,3/3/2015,6/12/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
3751,33,Early Childhood Teacher,TRUE,TRUE,1/4/2003,,40,12,0,0,,6/12/2009,3/3/2015,6/12/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Missoula
3871,51,Center/Preschool Director,TRUE,TRUE,1/1/1977,,40,12,0,0,,12/29/2015,12/29/2015,8/1/2011,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Blaine
4028,31,Registered Family Child Care Home,TRUE,FALSE,1/26/2000,,40,12,0,0,,6/17/2009,2/1/2010,2/1/2010,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Jefferson
4235,35,Pre-K through Grade 3 Teacher,TRUE,TRUE,11/1/2003,,40,12,0,0,,9/9/2009,9/9/2009,9/9/2009,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Gallatin
4387,41,Program Administrator,TRUE,TRUE,4/1/2007,,40,12,0,0,,4/6/2009,4/6/2009,4/6/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Toole
4697,33,Early Childhood Teacher,TRUE,TRUE,4/18/2008,,40,12,0,0,,6/16/2010,6/16/2010,6/16/2010,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Gallatin
5199,34,Early Childhood Assistant Teacher,TRUE,TRUE,8/26/2003,,20,12,0,0,,8/12/2009,8/12/2009,8/12/2009,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Park
5252,41,Program Administrator,TRUE,FALSE,1/10/2006,,40,12,43180.8,20.76,,3/25/2009,3/10/2016,3/25/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Child Care Center,Hill
5252,41,Program Administrator,TRUE,FALSE,1/10/2006,,40,12,43180.8,20.76,,3/25/2009,3/10/2016,3/25/2009,Verified by Registry,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Child Care Center,Hill
5541,33,Early Childhood Teacher,TRUE,TRUE,8/1/2003,,30,12,0,0,,12/10/2009,11/9/2016,12/14/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Silver Bow
5541,33,Early Childhood Teacher,TRUE,TRUE,8/1/2003,,30,12,0,0,,12/10/2009,11/9/2016,12/14/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Silver Bow
5656,34,Early Childhood Assistant Teacher,TRUE,TRUE,9/23/2002,,30,9,13677.3,11.69,,4/23/2009,4/23/2009,4/23/2009,Verified by Registry,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Gallatin
5765,41,Program Administrator,TRUE,TRUE,12/21/2001,,40,12,0,0,,11/4/2009,4/17/2018,1/13/2010,Verified by Registry,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Child Care Center,Yellowstone
5901,31,Registered Family Child Care Home,TRUE,TRUE,1/1/2003,,20,12,0,0,,1/14/2010,1/14/2010,1/14/2010,Verified by Registry,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Child Care Center,Jefferson
